%s\n\n%d元稅金！	%s\n\nTax: $%d!
%s\n\n%d點點券！	%s\n\n%d points!
%s\n\n償還銀行貸款\n\n%d元	%s\n\nRepaid bank loan\n\n$%d
%s\n\n免罪卡生效！	%s\n\nImmunity Card in effect!
%s\n\n升級費用:%d元\n\n是否升級？	%s\n\nUpgrade cost: $%d\n\nUpgrade?
%s\n\n向銀行貸款\n\n%d元	%s\n\nBorrowed from bank\n\n$%d
%s\n\n嫁禍卡生效！	%s\n\nFrame-Up Card in effect!
%s\n\n屬%s與%s\n\n請付%d元%s	%s\n\nOwned by %s and %s\n\nPay $%d %s
%s\n\n幫主%s\n\n請付%d元%s	%s\n\nGang boss %s\n\nPay $%d %s
%s\n\n強制償還%d元\n\n銀行特別融資！	%s\n\nForced repayment of $%d\n\nSpecial bank financing!
%s\n\n您的投保天數為...	%s\n\nYour insurance term is...
%s\n\n此地屬%s\n\n請付%d元%s	%s\n\nOwned by %s\n\nPay $d %s
%s\n\n每股售價%d\n\n是否認購股份？	%s\n\nShare price: $%d\n\nBuy shares?
%s\n\n董事長%s\n\n請付%d元%s	%s\n\nChairman %s\n\nPay $%d %s
%s\n\n請進來休息...	%s\n\nCome in and rest...
%s\n\n買進%s%d張	%s\n\nBought %s, %d shares
%s\n\n費用:%d元\n\n是否買下此地？	%s\n\nPrice: $%d\n\nBuy this land?
%s\n\n送您出國旅遊...	%s\n\nSending you abroad...
%s作祟\n\n倒霉加倍！	%s haunts:\n\ndouble trouble!
%s作祟\n\n罰金加倍！	%s haunts:\n\ndouble fine!
%s保佑\n\n免付罰金！	%s blesses:\n\nfine waived!
%s保佑\n\n逃過此劫！	%s blesses:\n\ndisaster averted!
%s得到%d元	%s received $%d
%s的旅館\n\n請進來休息...	%s's Hotel\n\nCome in and rest...
%s的購物中心\n\n您的消費倍數為...	%s's Mall\n\nYour spending multiplier is...
%s繳交%d元	%s paid $%d
2.重回侏儸紀	2. Jurassic Rebirth
萬丈高樓\n平地起！！	Even the tallest tower starts from the ground!!
萬歲！	Hooray!
萬歲！\n中大獎了！	Yay! Grand prize!
萬能的天使！\n賜給我\n神奇的力量∼	Almighty angel!\nGrant me miraculous power~
號！	...number!
蛋吧	have an egg
蜀山派	Mt. Shu Sect
蠅頭小利∼	Peanuts~
行星銀行	Planetary Bank
衡山派	Mt. Heng Sect
被我抓到了吧！	Gotcha!
裕隆汽車	Yulon Motor
裡？	...where?
要命\n要老婆？	Money, your life, or your wife?
視  窗	Windows
討厭啦！	You're awful!
誰來載我一程∼	Someone give me a ride~
誰偷了\n我的地契？	Who stole my land deed?
誰要你的爛地！	Who wants your lousy land!
誰要賣你！！	Who'd sell to you!!
誰要跟你好？！	Who wants to be your friend?!
請不要忘記喔！	Please don't forget!
請你多多\n擔待吧！	Please forgive me!
請到\n一個魔神仔∼	Calling the little demon~
請君保重，\n呵呵！	Take care of yourself, heh heh!
請大家\n不要買啦∼	Please, don't buy it~
請您\n快快離開吧！！	Please leave right now!!
請選擇嫁禍對象...	Choose someone to frame...
諒你也不敢\n跟本公主收錢！	You wouldn't dare charge the princess!
謝啦，謝啦！	Thanks! Thanks!
謝謝∼	Thank you~
護市容整潔\n人人有責！	Keeping the city clean is everyone's duty!
變賣所有卡片	Sell all cards
變賣所有道具	Sell all items
讓我\n再玩一次吧！	Let me play one more time!
讓我來\n為民除害！！	I'll rid the people of this pest!!
讓我再玩一次！	Let me play again!
讓我出去！	Let me out!
豐田汽車	Toyota Motor
豪華大飯店	Luxury Grand Hotel
財經新聞	Financial News
貸款中	Loan outstanding
資金資料	Fund Info
資金運用比例	Fund Allocation
賣出的張數	Shares to sell
賣方	Seller
賺的都不夠賠！	My earnings can't cover losses!
購得此地！	bought this land!
走了！大恩\n大德來日再報！	I must go! This debt will be repaid someday!
走盈餘\n\n%d元！	profit toll\n\n$%d!
走過路費\n\n%d元！	toll for passing\n\n$%d!
走開！\n別煩我！	Go away! Don't bother me!
起價卡好賺食！	A starting bid makes money!
起厝\n就要起歸排！	Build houses a whole row at a time!
起厝我專門科∼	Building houses is my specialty~
越頭卡快活！	Turning around is happier!
跌個慘兮兮∼	Falling, falling hard~
跌到谷底∼	Rock bottom~
跌！跌！	Fall! Fall!
距貸款到期日\n\n還剩１天！	1 day until the loan comes due!
距貸款到期日\n\n還剩２天！	2 days until the loan comes due!
距還款日%d天	%d days until repayment
跟我一國\n好處多多喔！	Join my side — lots of perks!
跟我合作\n準沒錯！	Partner with me and you can't lose!
跟我逗陣\n有好嘸壞∼	Hang with me — only upsides~
路況報導	Traffic Report
身\n\n付給每個人...	possessed:\n\ngive everyone...
身\n\n向所有對手收...	possessed:\n\ncollect from all rivals...
身\n\n得到%s及%s！	possessed:\n\nGot %s and %s!
身\n\n得到%s！	possessed:\n\nGot %s!
身\n\n損失...	possessed:\n\nLost...
身\n\n送您...	possessed:\n\na gift...
身\n\n遺失%s！	possessed:\n\nLost %s!
身\n\n遺失一半卡片！	possessed:\n\nLost half your cards!
身在誰身上？	Who should it possess?
身的人	possessed
轉去呷自己啦！	Go home and eat your own food!
轉向，轉向！	Turn! Turn!
迅猛汽車	Raptor Motors
迪士尼	Disneyland
逍遙客棧	Carefree Inn
逗陣就是有緣∼	It's fate that brought us together~
這個地段\n也該漲價了吧？	Isn't it time this area's prices went up?
這塊地\n換主人∼	...this land a new owner~
這是\n你們的榮幸！	It's an honor for you!
這是你自找的！	You asked for this!
這棟房子\n不錯喔∼	Nice house~
這樣\n比較有賺頭∼	This makes more money~
這樣才賺錢！	That's how you make money!
這裡\n收費太低了！	The tolls here are too low!
這裡\n本公主徵收了！	This land is hereby annexed by the princess!
這裡\n風水不壞喔∼	Not bad feng shui here~
這還有王法嗎？	Is there no law anymore?
這點錢\n都要賒賬∼	On credit for such a small amount~
通訊	Telecom
速則不達！	Haste makes waste!
進嘸步退嘸路∼	Can't advance, can't retreat~
遊戲畫面	Game Screen
運氣好而已啦∼	Just good luck~
過馬路\n要小心喔！	Careful crossing the street!
道具欄已滿\n\n無法購買！	Item slots full\n\ncan't buy!
遠東紡織	Far Eastern Textile
還不放我出去！	Let me out of here!
還好沒事∼	Good thing nothing happened~
還我錢來∼	Pay me back~
還給人家啦∼	Give it back~
那是非賣品！！	Not for sale!!
部夷為\n平地！！	raze it all\nto the ground!!
都給我拆了！	Tear it ALL down!
重建！\n我要重建！	Rebuild! I want to rebuild!
金 貝 貝	Kimi
金作廢！	...prize void!
金加倍！	...prize doubled!
金將累積\n到下個月．\n．．．。	...rolls over to next month...
金星科技	Venus Technology
金金大飯店	Gold-Gold Grand Hotel
金！	...prize!
銀河保險	Galaxy Insurance
銀河系和平日\n\n%s得到%s！	Galaxy Peace Day:\n\n%s gets %s!
銀河航運	Galaxy Shipping
銀行拒絕往來\n\n還剩%d天！	Bank blacklisted:\n\n%d days left!
銀行暫停放款\n\n還剩%d天！	Lending suspended:\n\n%d days left!
銀行經營權易主！	Control of the bank changes hands!
銀行資金準備\n\n不足%d元\n\n由經營者%s墊付！	Bank reserve short $%d\n\nManager %s covers it!
鋒！	...vanguard!
錢都被你\n拿光了！	You took ALL my money!
長城電機	Great Wall Electric
長毛象紡織	Woolly Mammoth Textile
長江建設	Yangtze Construction
門！	...gate!
開發道具	Development Items
間移動！！	...teleport!!
關人家什麼事！	What's it to you!
阮的現金目前\n攏寄在股市~	All my cash is in the stock market~
阿門！	Amen!
除夕\n\n%s得到%s！	New Year's Eve:\n\n%s gets %s!
陰陽魔界∼	The Twilight Zone~
隕石礦業	Meteorite Mining
雷龍電子	Thunder Dragon Electronics
震 旦 行	Aurora Trading
面上漲	...prices rise!
面免費！	...free!
面對現實吧∼	Face reality~
音 效	Sound
音 樂	Music
頂新食品	Tingyi Foods
飛來橫禍！	A bolt from the blue!
飛狗跳~~	pandemonium~~
飛龍百貨	Flying Dragon Department Store
麥來這套！！	Don't pull that on me!!
麥牽拖厝邊啦！	Don't drag neighbors into it!
麥當勞	McDonald's
黃金銀行	Golden Bank
鼾鼾∼	Zzz~
！\n休息幾天吧！	!\nRest up for a few days!
！\n損人不利己∼	!\nHurting others, gaining nothing~
！\n還是從前好。	!\nThe good old days were better!
！回頭太難∼	! Too hard to turn back~
！害人反害己	! The schemer hoists himself
！真倒霉	What bad luck
，\n功成名就啦！	,\nsuccess and fame!
，\n我還滿行的嘛！	,\nI've still got it!
，好期待！	, so exciting!
０級	Level 0
�?%s\n\n賣出%s%d張	%s\n\nSold %s, %d shares
�?遊戲速度	Game Speed
�@%s\n\n復仇卡生效！	%s\n\nRevenge Card in effect!
�@%s顯靈\n\n投資失敗！	%s manifests:\n\ninvestment failed!
�B#0194變賣所有股票求現	Sell all stocks for cash
%s\n\n是否使用免費卡？	%s\n\nUse the Free Pass Card?
%s開發完成！	%s development complete!
託管AI	Auto AI
住宿中	Lodging
貸款到期日\n\n強制執行！	Loan due — enforced repayment!
利息：	Interest:
各位客戶辛苦了！\n又到了每月銀行\n結算的日子。	Attention, customers!\nIt's time for the monthly bank settlement.
所有人繳交地價稅５％	Everyone pays 5% land tax
所有人繳交證交稅５％	Everyone pays 5% stock tax
%s房屋鬧鬼\n地價下跌３０％	A house in %s is haunted.\nLand value drops 30%
股市低迷不振重挫崩盤	The stock market crashes!
二 人	2 Players
夫人購得此地！	Madame Qian bought this land!
＃0164%s一處民宅瓦斯爆炸\n房屋失火	A gas explosion in %s sets a house on fire
＃0156公開拍賣%s\n公有土地一處	Public auction: public land in %s
＄%d	$%d
